NAME,HT,WT,CLASS,HOMETOWN,STATE,SCHOOL,GPA,CRIMES,INJURIES,SCHOOLID,MAJOR
Janarion Grant,70,178,SR,Trilby,FL,Rutgers,2.92,7,4,159003088,Sports Management
Kiy Hester,73,208,JR,Plainfield,NJ,Rutgers,3.73,14,5,153001630,Sports Management
Ahmir Mitchell,75,206,FR,Egg Harbor City,NJ,Rutgers,3.77,11,7,151001347,Civil Engineering
Olakunle Fatukasi,73,230,FR,Far Rockaway,NY,Rutgers,2.72,7,14,159001224,Biology
Jawuan Harris,69,190,SO,Pembroke Pines,FL,Rutgers,2.43,12,6,155008023,Electrical Engineering
Tre Avery,70,170,FR,Baltimore,MD,Rutgers,3.79,14,3,153002541,Economics
Trey Sneed,70,214,SO,Orange Park,FL,Rutgers,2.53,9,9,156009656,Sports Management
Damon Mitchell,74,213,SR,Egg Harbor City,NJ,Rutgers,2.09,6,5,150006159,Exercise Science
Mohamed Jabbie,71,197,FR,Monmouth Junction,NJ,Rutgers,2.33,14,7,155007288,Economics
Deonte Roberts,73,235,JR,Brooklyn,NY,Rutgers,1.71,8,12,159009779,Economics
Elorm Lumor,75,245,FR,Piscataway,NJ,Rutgers,2.29,12,3,157003194,Sports Management
Robert Martin,71,212,SR,Harrisburg,PA,Rutgers,2.11,13,9,153001062,Computer Engineering
Tyshon Fogg,73,240,FR,Baltimore,MD,Rutgers,2.35,15,12,151004741,Communication
Josh Hicks,70,210,SR,Palmetto,FL,Rutgers,2.03,8,14,153008618,Political Science
Kyle Bolin,74,212,SR,Lexington,KY,Rutgers,3.57,6,4,159003468,Psychology
Saquan Hampton,73,207,JR,Hamilton,NJ,Rutgers,2.93,10,4,159004442,Gender Studies
Blessuan Austin,73,195,JR,Queens,NY,Rutgers,2.65,14,8,154007817,Labor Studies
Johnathan Lewis,75,240,FR,East Orange,NJ,Rutgers,4,17,3,150004746,Communication
Isaiah Wharton,73,205,JR,Kissimmee,FL,Rutgers,2.18,11,6,159001744,Gender Studies
Zach Allen,75,212,SR,Temple,TX,Rutgers,2.87,9,2,158003110,Exercise Science
Nadir Barnwell,70,183,SR,Piscataway,NJ,Rutgers,4,6,1,151006350,Economics
Myles Nash,77,257,SR,Sicklerville,NJ,Rutgers,2.81,11,6,154003399,Theater
Gus Edwards,73,235,SR,Staten Island,NY,Rutgers,3.36,15,8,153004436,Dance
Rob Nittolo,73,216,JR,Palm Beach Gardens,FL,Rutgers,2.65,11,2,153002431,ITI
Everett Wormley,73,198,FR,Burlington,NJ,Rutgers,2.55,9,7,158000656,Political Science
Shameen Jones,73,175,FR,Bronx,NY,Rutgers,2.16,10,3,150004163,Dance
Trevor Morris,73,232,JR,King Of Prussia,PA,Rutgers,2.59,3,8,156000446,History
Jelani Garvin,68,175,SO,Allendale,NJ,Rutgers,3.32,10,6,152007640,Creative Writing
Tommy Wyatt,75,206,FR,Pine Hill,NJ,Rutgers,1.59,12,11,156006221,Political Science
K.J. Gray,73,205,SO,Newark,NJ,Rutgers,3.27,15,1,155007801,Labor Studies
Giovanni Rescigno,75,228,JR,Macomb,MI,Rutgers,2.73,14,3,150006731,Public Policy
Bo Melton,71,185,FR,Mays Landing,NJ,Rutgers,2.27,10,4,150009170,Biology
Tom Flacco,73,185,JR,Voorhees,NJ,Rutgers,3.29,6,2,152006570,Animal Science
Elijah Barnwell,71,205,FR,Piscataway,NJ,Rutgers,4,6,5,151008703,Exercise Science
Ross Douglas,70,205,SR,Avon,OH,Rutgers,1.7,4,12,152007192,Communication
Damon Hayes,73,198,SO,Upper Marlboro,MD,Rutgers,2.57,13,7,158003841,ITI
Dacoven Bailey,70,205,SO,Pilot Point,TX,Rutgers,2.72,8,10,157001549,Communication
Naijee Jones,71,195,FR,Erial,NJ,Rutgers,3.44,11,4,154007249,Nutrition
Charles Snorweah,70,178,SO,Levittown,PA,Rutgers,3.58,14,11,155004037,Industrial Engineering
Raheem Blackshear,69,185,FR,Warminster,PA,Rutgers,1.77,9,10,154008312,Sports Management
Syhiem Simmons,71,214,FR,Jersey City,NJ,Rutgers,1.95,15,10,156004816,Mechanical Engineering
CJ Onyechi,73,231,FR,West Orange,NJ,Rutgers,1.95,11,9,150009209,Sports Management
